stop_id,stop_name,stop_lat,stop_lon,stop_code
"2@C0629_600","Via Del Brennero Bar Jolly","43.8135290917189","10.4871777337479","2@C0629"
"2@C0633_600","Via Acquacalda Civ.1579","43.8722910848176","10.5348175232629","2@C0633"
"2@C0634_600","Pontetetto 1","43.8226191361367","10.4933212000957","2@C0634"
"2@C0636_600","Via Camaiore Loc.Murelle","43.8954783861622","10.4733569643977","2@C0636"
"2@C0637_600","Via Pisana Ang.Citta Gemelle","43.841502063615","10.4779007231793","2@C0637"
"2@C0638_600","Via Pisana Ang.Einaudi","43.8416386623497","10.4777812552917","2@C0638"
"2@C0639_600","San Cassiano Chiesa 2","43.8699997271027","10.5398333365885","2@C0639"
"2@C0641_600","Via Del Brennero Rist.Quercia","43.7791366257904","10.460541240916","2@C0641"
"2@C0649_600","San Quirico Di Moriano 1","43.8858205504804","10.5191963206105","2@C0649"
"2@C0650_600","Via Del Brennero Anas","43.8016211142588","10.484807793803","2@C0650"
"2@C0651_600","Via Ville Civ.3658","43.8713160223016","10.5470328519835","2@C0651"
"2@C0652_600","Via Ville Civ.3657","43.8713886624151","10.5466551367736","2@C0652"
"2@C0653_600","Mutigliano Croce","43.8820350015544","10.477358251617","2@C0653"
"2@C0657_600","Via Camaiore Civ.4525","43.8842481165045","10.4829765892929","2@C0657"
"2@C0658_600","Civitali","43.851529420202","10.5090968569917","2@C0658"
"2@C0679_600","Via M.Matanna","43.8774642029198","10.2552905825215","2@C0679"
"2@C0682_600","Via Del Brennero Immaginetta","43.7909118574706","10.4750312815254","2@C0682"
"2@C0683_600","Immaginetta 2","43.7880814767442","10.4714413095441","2@C0683"
"2@C0685_600","Via Del Brennero Bar Lo Spagnolo","43.7841319516195","10.4662988010093","2@C0685"
"2@C0687_600","Via Del Brennero Loc.Bigongia","43.7794965214014","10.4605608766637","2@C0687"
"2@C0688_600","Via Del Brennero Ang.S.Michele E.","43.8142500780116","10.4871241350194","2@C0688"
"2@C0689_600","Via Del Brennero Civ.5962","43.7758840110552","10.4589585217312","2@C0689"
